,freq.,title,author,words,code
0,641,"A Dictionary of Arts, Manufactures and Mines",Andrew Ure,"['aroma', 'smell', 'odour', 'aromatic', 'acrid', 'scent', 'pungent', 'odorous', 'fetid', 'putrid', 'perfume', 'musk', 'ripe', 'ripeness', 'fragrance', 'scented', 'bouquet', 'piney', 'stink', 'pungency', 'waft']",44562
1,475,Perfumes and their Preparation,George William Askinson,"['aromatic', 'musk', 'odorous', 'smell', 'perfume', 'fragrance', 'scent', 'scented', 'aroma', 'ripe', 'acrid', 'pungent', 'bouquet']",55735
2,422,Aromatics and the Soul,Dan McKenzie,"['smell', 'odour', 'stench', 'perfume', 'pungent', 'fragrance', 'whiff', 'musk', 'malodorous', 'odorous', 'putrid', 'scent', 'scented', 'aroma', 'waft', 'musty', 'aromatic', 'savour', 'stink', 'ripe', 'sniff', 'acrid', 'bouquet', 'pungency', 'fusty']",60584
3,389,The PG Compilation of Short Stories of Chekhov,Anton Chekov,"['smell', 'scent', 'stench', 'acrid', 'sniff', 'reek', 'perfume', 'ripe', 'stink', 'musk', 'fragrance', 'savour', 'pungent', 'scented', 'odour', 'whiff', 'musty', 'bouquet', 'putrid']",57333
4,345,"Studies in the Psychology of Sex, Volume 4 of 6",Havelock Ellis,"['smell', 'odorous', 'fragrance', 'musk', 'perfume', 'putrid', 'aromatic', 'scented', 'aroma', 'musky', 'pungent', 'stink', 'acrid', 'scent', 'whiff', 'bouquet', 'ripe']",13613
5,342,The Field and Garden Vegetables of America,Fearing Burr,"['ripe', 'pungency', 'pungent', 'musky', 'musk', 'smell', 'bouquet', 'aromatic', 'acrid', 'fragrance', 'aroma', 'putrid', 'scented']",21682
6,328,"Henley's Twentieth Century Formulas, Recipes and Processes",Various,"['scent', 'smell', 'scented', 'perfume', 'acrid', 'pungent', 'aromatic', 'bouquet', 'pungency', 'fetid', 'aroma', 'putrid', 'ripe', 'musk', 'fragrance', 'malodorous', 'musty', 'odorous']",53143
7,320,The Complete Herbal,Nicholas Culpeper,"['ripe', 'scent', 'smell', 'savour', 'putrid', 'aromatic', 'stench', 'musk', 'musty', 'perfume', 'scented']",49513
8,294,"The Natural History of Pliny, Vol. 3 of 6",Pliny the Elder,"['smell', 'odour', 'aroma', 'scent', 'acrid', 'fetid', 'putrid', 'pungent', 'pungency', 'perfume', 'aromatic', 'musty', 'scented', 'ripe', 'stench', 'bouquet', 'ripeness', 'fragrance', 'odorous']",59131
9,272,British Pomology,Robert Hogg,"['aromatic', 'ripe', 'perfume', 'scent', 'scented', 'aroma', 'smell', 'musky', 'fragrance', 'pungency', 'musk']",47367
