,freq.,title,author,words,code
76,61,Among the Trees at Elmridge,Ella Rodman Church,"['ripe', 'fragrance', 'scent', 'smell', 'perfume', 'aroma', 'aromatic', 'odorous', 'sniff', 'ripeness']",11723
77,61,Poems & Ballads (First Series),Algernon Charles Swinburne,"['savour', 'ripeness', 'scented', 'scent', 'perfume', 'smell', 'ripe', 'odour', 'reek', 'pungent']",35402
78,60,The Valiants of Virginia,Hallie Erminie Rives,"['smell', 'acrid', 'perfume', 'bouquet', 'scent', 'aromatic', 'musty', 'scented', 'musky', 'fragrance', 'odorous', 'musk', 'aroma', 'pungent', 'whiff']",33963
79,60,Fraternity,John Galsworthy,"['ripe', 'scent', 'smell', 'aroma', 'whiff', 'sniff', 'reek', 'fragrance', 'odour', 'perfume', 'putrid', 'musk']",2773
80,60,The White Peacock,David Herbert Lawrence,"['scent', 'ripe', 'odour', 'stink', 'smell', 'pungent', 'acrid', 'sniff', 'fragrance', 'ripeness', 'perfume']",38561
81,59,Wood and Stone,John Cowper Powys,"['smell', 'perfume', 'pungency', 'aromatic', 'fragrance', 'pungent', 'odour', 'scent', 'scented', 'fetid', 'savour']",53157
82,59,Money,Émile Zola,"['ripe', 'scent', 'smell', 'scented', 'perfume', 'bouquet', 'odour', 'stench', 'whiff']",56987
83,59,At the Mercy of Tiberius,Augusta Evans Wilson,"['perfume', 'scented', 'fragrance', 'bouquet', 'smell', 'odorous', 'aroma', 'ripe', 'scent', 'pungent', 'acrid', 'aromatic', 'fetid', 'musty', 'waft', 'piney']",4209
84,58,Popular Adventure Tales,Mayne Reid,"['ripe', 'acrid', 'odour', 'aromatic', 'scent', 'fragrance', 'perfume', 'smell', 'scented', 'musk', 'aroma', 'putrid', 'fetid', 'musky', 'bouquet']",25665
85,58,Sons and Lovers,David Herbert Lawrence,"['scent', 'sniff', 'perfume', 'smell', 'ripe', 'scented', 'odour', 'ripeness', 'fragrance', 'whiff', 'waft']",217
86,58,"The Home Book of Verse, Vol. 3",Burton Egbert Stevenson,"['bouquet', 'acrid', 'perfume', 'fragrance', 'odorous', 'waft', 'smell', 'ripe', 'scent', 'ripeness', 'scented', 'musk']",2621
