
35,131,Wood and Garden,Gertrude Jekyll,"['scent', 'smell', 'pungent', 'scented', 'fragrance', 'bouquet', 'whiff', 'perfume', 'ripe', 'waft', 'aromatic', 'pungency', 'odour', 'ripeness']",36279
36,130,Miss Leslie's Complete Cookery,Eliza Leslie,"['smell', 'ripe', 'pungent', 'musk', 'odour', 'perfume', 'scented', 'scent', 'aromatic', 'aroma', 'pungency']",60025
37,129,The Nursery Book,Liberty Hyde Bailey,"['ripe', 'musk', 'piney']",47955
40,124,A Biblical and Theological Dictionary,Richard Watson,"['smell', 'perfume', 'ripe', 'fetid', 'fragrance', 'odour', 'aromatic', 'scented', 'scent', 'ripeness', 'stench', 'putrid', 'pungency', 'stink', 'acrid', 'musk', 'savour', 'odorous']",53884
41,124,Fox Trapping,Arthur Robert Harding,"['scent', 'smell', 'musk', 'scented', 'odorous']",34076
42,120,Analysis of the Phenomena of the Human Mind,James Mill,"['smell', 'odour', 'odorous', 'ripe', 'stench', 'scented', 'pungent', 'pungency']",56441
43,120,Great Possessions,David Grayson,"['odour', 'smell', 'fragrance', 'sniff', 'whiff', 'scent', 'scented', 'ripe', 'aroma', 'bouquet', 'musty']",10593
44,118,Miss Leslie's New Cookery Book,Eliza Leslie,"['ripe', 'smell', 'pungent', 'savour', 'bouquet', 'aroma', 'ripeness', 'musty', 'perfume']",40943
45,112,Flowers and Flower-Gardens,David Lester Richardson,"['fragrance', 'perfume', 'smell', 'odorous', 'ripe', 'scented', 'bouquet', 'musky', 'scent', 'odour', 'aromatic']",12286
46,111,Curiosities of Medical Experience,John Gideon Millingen,"['fetid', 'aroma', 'putrid', 'odour', 'perfume', 'scent', 'aromatic', 'scented', 'smell', 'sniff', 'odorous', 'ripe', 'savour', 'stink', 'stench', 'waft', 'acrid', 'pungent', 'musk']",39074
47,110,"New York Journal of Pharmacy, Vol. 1 of 3, 1852",Various,"['aroma', 'acrid', 'smell', 'odour', 'aromatic', 'perfume', 'musk', 'pungent', 'musky', 'putrid', 'ripe', 'musty', 'scent', 'scented', 'pungency', 'odorous', 'stench']",53828
48,110,Camp Life in the Woods and the Tricks of Trapping,Gibson,"['scent', 'musk', 'fetid', 'acrid', 'smell', 'scented', 'musky', 'fragrance', 'stench', 'pungent', 'aromatic', 'ripe', 'putrid']",17093
50,108,Letters of Samuel Rutherford,Samuel Rutherford,"['fragrance', 'smell', 'ripe', 'perfume', 'savour', 'stink', 'scent', 'waft']",42557
51,107,"Cassell's Natural History, Vol. 2 of 6",Various,"['scent', 'smell', 'odour', 'musty', 'perfume', 'musk', 'musky', 'fetid', 'sniff', 'scented', 'stench', 'pungent', 'reek', 'aromatic', 'whiff']",59906
52,107,Elements of Surgery,Robert Liston,"['acrid', 'putrid', 'fetid', 'smell', 'aromatic', 'odour', 'stench']",50640
53,107,Parsons on the Rose,Samuel Browne Parsons,"['musk', 'fragrance', 'scent', 'musky', 'perfume', 'bouquet', 'smell', 'ripe', 'aromatic', 'aroma', 'pungent']",48186
54,105,"The Holy Bible, Douay-Rheims Version, Both Testaments",Anonymous,"['savour', 'smell', 'ripe', 'stink', 'perfume', 'odour', 'scent', 'stench', 'ripeness']",1581
56,102,The Book of Herbs,Rosalind Northcote,"['aromatic', 'smell', 'fragrance', 'scent', 'perfume', 'pungent', 'odour', 'ripe', 'ripeness', 'savour', 'scented', 'bouquet', 'musk']",60050
