,freq.,title,author,words,code
196,62,Of The Nature of Things,Lucretius,"['scented', 'scent', 'pungent', 'odour', 'smell', 'whiff', 'odorous', 'ripe', 'perfume', 'bouquet', 'redolence', 'savour', 'fragrance', 'stench', 'putrid', 'sniff', 'fetid', 'reek', 'stink']",785
199,61,Diversions of a Naturalist,Edwin Ray Lankester,"['reek', 'smell', 'odour', 'perfume', 'ripe', 'scent', 'musk', 'odorous', 'whiff', 'scented', 'aromatic', 'putrid']",61195
205,61,Fruits of the Hawaiian Islands,Gerrit Parmile Wilder,"['ripe', 'perfume', 'aromatic', 'odorous', 'fragrance', 'scented']",43581
208,61,The Physiology of Taste,Brillat Savarin,"['perfume', 'scent', 'smell', 'odorous', 'fragrance', 'aroma', 'scented']",5434
211,60,A History of Champagne,Henry Vizetelly,"['perfume', 'smell', 'ripe', 'fragrance', 'bouquet', 'ripeness', 'odour', 'acrid', 'savour', 'aroma', 'putrid', 'pungency', 'scent', 'scented']",46953
213,60,The History of Sumatra,William Marsden,"['perfume', 'fragrance', 'aromatic', 'pungent', 'acrid', 'pungency', 'smell', 'scent', 'ripe', 'odour', 'musky', 'scented', 'putrid', 'musk', 'whiff']",16768
216,59,"Encyclopedia of Diet, Vol. 3 of 5",Eugene Christian,"['odorous', 'pungent', 'ripe']",50213
218,58,Five Years Of Theosophy,Various,"['pungent', 'fragrance', 'savour', 'smell', 'scent', 'odour', 'odorous']",14378
219,58,"The Natural History of Pliny, Vol. 2 of 6",Pliny the Elder,"['smell', 'fetid', 'odour', 'stench', 'putrid', 'acrid']",60230
222,58,"A Treatise on Tobacco, Tea, Coffee, and Chocolate",Simon Pauli,"['putrid', 'odorous', 'fetid', 'smell', 'acrid', 'fragrance', 'scent']",53027
230,57,"Buffon's Natural History, Volume VIII of 10",Georges Louis Leclerc,"['smell', 'scent', 'musk', 'aromatic', 'odour', 'ripe', 'perfume', 'acrid']",45821
238,56,The Insect World,Louis Figuier,"['smell', 'pungent', 'odour', 'putrid', 'acrid', 'ripe', 'aromatic', 'musk', 'musky']",45596
241,56,A History of the Cries of London,Charles Hindley,"['ripe', 'odour', 'fragrance', 'smell', 'scented', 'perfume']",37114
246,55,"Narrative and Critical History of America, Vol. 6 of 8",Various,"['bouquet', 'stink']",51789
248,55,"The Principles of Psychology, Volume 2 of 2",William James,"['scent', 'smell', 'aroma', 'perfume', 'bouquet', 'musk', 'odorous', 'fragrance', 'pungency', 'pungent', 'whiff', 'ripe', 'putrid', 'waft', 'acrid', 'sniff', 'stink']",57634
252,55,Elements of Physiophilosophy,Lorenz Oken,"['smell', 'savour', 'fetid', 'pungent', 'acrid', 'odour', 'aromatic', 'ripe', 'odorous', 'scent', 'stink', 'putrid']",49196
257,55,"Sketches and Studies in Italy and Greece, Complete",John Symonds,"['scent', 'waft', 'reek', 'fragrance', 'smell', 'scented', 'odorous', 'aromatic', 'musty', 'perfume', 'ripe', 'bouquet', 'malodorous', 'stench']",18893
256,55,Anecdotes of Dogs,Edward Jesse,"['scent', 'odour', 'scented', 'smell', 'sniff']",26500
263,54,"A Pocket Dictionary, Welsh-English",William Richards,"['pungent', 'ripeness', 'ripe', 'reek', 'savour', 'scent', 'smell', 'putrid', 'acrid', 'whiff', 'pungency', 'fetid', 'stench', 'stink', 'waft', 'musk', 'perfume', 'aroma', 'aromatic', 'odour', 'odorous']",19704
266,53,Visionaries,James Huneker,"['perfume', 'odour', 'smell', 'musk', 'aroma', 'savour', 'scent', 'sniff', 'bouquet', 'pungent', 'acrid', 'ripe', 'odorous', 'waft', 'fragrance']",17922
267,53,The Writings of John Burroughs,John Burroughs,"['scent', 'pungent', 'smell', 'ripe', 'perfume', 'scented', 'odorous', 'whiff', 'fragrance', 'bouquet']",7441
271,52,"Catholic World, Vol. 13, April to September, 1871",Various,"['scented', 'sniff', 'aroma', 'ripe', 'smell', 'perfume', 'waft', 'aromatic', 'bouquet', 'fragrance', 'musk', 'scent', 'putrid']",48448
229,57,Facts About Champagne and Other Sparkling Wines,Henry Vizetelly,"['bouquet', 'perfume', 'fragrance', 'savour', 'ripe', 'aroma', 'acrid', 'odour', 'scented', 'aromatic', 'musky']",20889
