,Unnamed: 0,freq.,title,author,words,code,sentence_count,density
28,28,53,The Passionate Elopement,Compton Mackenzie,"['odorous', 'ripe', 'savour', 'smell', 'perfume', 'pungent', 'musty', 'odour', 'bouquet', 'scent', 'scented', 'aroma', 'musk']",38177,6352,0.008343828715365239
29,29,50,The Garden Without Walls,Coningsby Dawson,"['fragrance', 'smell', 'scented', 'musty', 'ripe', 'acrid', 'perfume', 'pungent', 'scent']",54801,10531,0.004747887190200361
30,30,54,Makers,Cory Doctorow,"['smell', 'perfume', 'musky', 'stink', 'acrid', 'ripe', 'musty', 'scented', 'scent']",34527,14495,0.003725422559503277
31,31,43,Children's Literature,Curry and Clippinger,"['bouquet', 'smell', 'ripe', 'perfume', 'scent', 'fragrance', 'waft', 'sniff', 'musty', 'piney']",25545,19333,0.0022241762789013604
32,32,66,Poppy,Cynthia Stockley,"['pungent', 'odour', 'smell', 'perfume', 'scent', 'musk', 'ripe', 'fragrance', 'aroma', 'savour', 'sniff', 'acrid']",36138,8061,0.008187569780424266
33,33,42,Despair's Last Journey,David Christie Murray,"['smell', 'odour', 'odorous', 'aromatic', 'scent', 'sniff', 'pungent', 'ripe', 'stink', 'malodorous', 'perfume', 'waft', 'scented', 'musk', 'acrid', 'whiff']",22276,9138,0.004596191726854892
34,34,41,Adventures In Contentment,David Grayson,"['smell', 'ripe', 'pungent', 'musty', 'odour', 'fragrance', 'aroma', 'scent', 'aromatic', 'acrid']",10605,2738,0.014974433893352812
35,35,60,The White Peacock,David Herbert Lawrence,"['scent', 'ripe', 'odour', 'stink', 'smell', 'pungent', 'acrid', 'sniff', 'fragrance', 'ripeness', 'perfume']",38561,10048,0.005971337579617835
36,36,71,The Death of the Gods,Dmitri Mérejkowski,"['odorous', 'odour', 'acrid', 'smell', 'perfume', 'aroma', 'fetid', 'scented', 'fusty', 'ripe', 'putrid', 'fragrance', 'musty', 'aromatic', 'stink', 'scent']",46492,7527,0.009432708914574199
37,37,51,Jonah and Co.,Dornford Yates,"['perfume', 'smell', 'scented', 'sniff', 'scent', 'savour', 'odour', 'ripe', 'reek']",27079,7609,0.006702589039295571
